naicsCode_5,naicsCode_4,naicsCode_3,naicsCode_2,naicsCode_1,confidence_5,co2e_4,confidence_4,confidence_3,co2e_5,confidence_2,confidence_1,co2e_1,chosen_result,co2e_2,co2e_3,title_3,title_4,title_5,material_name,title_1,material_code,title_2
337121,532292,339114,337215,337125,0.508,0.17,0.532,0.538,0.311,0.601,0.624,0.348,1,0.413,0.214,"Dental equipment and supplies manufacturing","General and consumer goods rental","Upholstered household furniture manufacturing","Incredible Plastic Chair","Other household nonupholstered furniture","ZTXS-NGBBEY6D","Showcase, partition, shelving, and locker manufacturing"
333517,332510,339992,334118,332722,0.499,0.277,0.559,0.582,0.272,0.589,0.617,0.357,1,0.199,0.276,"All other miscellaneous manufacturing","Hardware manufacturing","Machine tool manufacturing","Modern Steel Keyboard","Turned product and screw, nut, and bolt manufacturing","LDIJ-KXGNJ56A","Computer terminals and other computer peripheral equipment manufacturing"
325910,331420,331511,313210,315190,0.351,0.7090000000000001,0.354,0.373,0.7260000000000001,0.379,0.436,0.191,1,0.632,0.476,"Ferrous metal foundries","Copper rolling, drawing, extruding and alloying","Printing ink manufacturing","Fantastic Bronze Pants","Apparel manufacturing","WXCK-9RBU6V9C","Fabric mills"
332999,336360,331315,331110,336991,0.464,0.409,0.466,0.484,0.367,0.497,0.512,0.255,1,1.088,0.7520000000000001,"Aluminum product manufacturing from purchased aluminum","Motor vehicle seating and interior trim manufacturing","Other fabricated metal manufacturing","Oriental Metal Bike","Motorcycle, bicycle, and parts manufacturing","HXZJ-UGLAK25M","Iron and steel mills and ferroalloy manufacturing"
326299,326199,339999,321999,316210,0.516,0.54,0.525,0.53,0.491,0.582,0.636,0.282,1,0.296,0.276,"All other miscellaneous manufacturing","Other plastics product manufacturing","Other rubber product manufacturing","Electronic Metal Shoes","Leather and allied product manufacturing","WSUP-24UXLEUI","All other wood product manufacturing"
339113,334519,332999,337124,334118,0.371,0.108,0.381,0.404,0.205,0.46,0.584,0.199,1,0.348,0.367,"Other fabricated metal manufacturing","Watch, clock, and other measuring and controlling device manufacturing","Surgical appliance and supplies manufacturing","Ergonomic Metal Mouse","Computer terminals and other computer peripheral equipment manufacturing","ZIFX-T95YE1YG","Other household nonupholstered furniture"
337124,337121,337127,532292,337215,0.423,0.311,0.432,0.439,0.348,0.504,0.532,0.413,1,0.17,0.37,"Institutional furniture manufacturing","Upholstered household furniture manufacturing","Other household nonupholstered furniture","Sleek Frozen Chair","Showcase, partition, shelving, and locker manufacturing","OAZJ-1YDODC2K","General and consumer goods rental"
313210,424990,311710,424460,114111,0.431,0.198,0.442,0.454,0.632,0.474,0.571,0.343,1,0.272,0.418,"Seafood product preparation and packaging","Other nondurable goods merchant wholesalers","Fabric mills","Luxurious Cotton Tuna","Fishing, hunting and trapping","SCBV-290BEPAE","Grocery and related product wholesalers"
722511,722513,424490,311412,311991,0.426,0.344,0.454,0.489,0.261,0.544,0.619,0.452,1,0.8270000000000001,0.272,"Grocery and related product wholesalers","Limited-service restaurants","Full-service restaurants","Intelligent Fresh Pizza","All other food manufacturing","TEWV-FATW98GI","Frozen food manufacturing"
326121,441228,339930,332812,336991,0.371,0.171,0.372,0.379,0.677,0.407,0.412,0.255,1,0.5720000000000001,0.25,"Doll, toy, and game manufacturing","Motor vehicle and parts dealers","Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing","Sleek Plastic Bike","Motorcycle, bicycle, and parts manufacturing","DCFX-XGQQZGBC","Coating, engraving, heat treating and allied activities"
