"NAICS Code 2017","NAICS Title 2017","GHG","Unit","Without Margins","Margins","With Margins","Reference USEEIO Code"
111110,"Soybean Farming","Carbon dioxide","kg/2021 USD, purchaser price","4.04e-01","9.11e-02","4.95e-01","1111A0"
111110,"Soybean Farming","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.94e-08","2.87e-09","2.23e-08","1111A0"
111110,"Soybean Farming","Hexafluoroethane","kg/2021 USD, purchaser price","4.21e-09","5.90e-10","4.80e-09","1111A0"
111110,"Soybean Farming","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.64e-07","1.31e-07","2.95e-07","1111A0"
111110,"Soybean Farming","HFC-125","kg/2021 USD, purchaser price","1.63e-07","1.30e-07","2.93e-07","1111A0"
111110,"Soybean Farming","Methane","kg/2021 USD, purchaser price","1.21e-03","3.58e-04","1.57e-03","1111A0"
111110,"Soybean Farming","HFC-134a","kg/2021 USD, purchaser price","4.22e-07","3.32e-07","7.54e-07","1111A0"
111110,"Soybean Farming","Nitrogen trifluoride","kg/2021 USD, purchaser price","8.73e-10","1.15e-10","9.88e-10","1111A0"
111110,"Soybean Farming","HFC-143a","kg/2021 USD, purchaser price","6.07e-08","4.84e-08","1.09e-07","1111A0"
111110,"Soybean Farming","Nitrous oxide","kg/2021 USD, purchaser price","2.64e-03","5.06e-06","2.64e-03","1111A0"
111110,"Soybean Farming","HFC-23","kg/2021 USD, purchaser price","1.46e-08","2.10e-09","1.67e-08","1111A0"
111110,"Soybean Farming","Perfluorocyclobutane","kg/2021 USD, purchaser price","2.43e-10","3.21e-11","2.75e-10","1111A0"
111110,"Soybean Farming","HFC-236fa","kg/2021 USD, purchaser price","1.09e-09","8.73e-10","1.97e-09","1111A0"
111110,"Soybean Farming","Perfluoropropane","kg/2021 USD, purchaser price","2.83e-10","3.74e-11","3.21e-10","1111A0"
111110,"Soybean Farming","HFC-32","kg/2021 USD, purchaser price","9.84e-08","7.84e-08","1.77e-07","1111A0"
111110,"Soybean Farming","Sulfur hexafluoride","kg/2021 USD, purchaser price","1.12e-08","1.78e-09","1.30e-08","1111A0"
111120,"Oilseed (except Soybean) Farming","Carbon dioxide","kg/2021 USD, purchaser price","4.04e-01","9.11e-02","4.95e-01","1111A0"
111120,"Oilseed (except Soybean) Farming","HFC-236fa","kg/2021 USD, purchaser price","1.09e-09","8.73e-10","1.97e-09","1111A0"
111120,"Oilseed (except Soybean) Farming","Carbon tetrafluoride","kg/2021 USD, purchaser price","1.94e-08","2.87e-09","2.23e-08","1111A0"
111120,"Oilseed (except Soybean) Farming","HFC-32","kg/2021 USD, purchaser price","9.84e-08","7.84e-08","1.77e-07","1111A0"
111120,"Oilseed (except Soybean) Farming","Hexafluoroethane","kg/2021 USD, purchaser price","4.21e-09","5.90e-10","4.80e-09","1111A0"
111120,"Oilseed (except Soybean) Farming","HFCs and PFCs, unspecified","kg/2021 USD, purchaser price","1.64e-07","1.31e-07","2.95e-07","1111A0"
111120,"Oilseed (except Soybean) Farming","HFC-125","kg/2021 USD, purchaser price","1.63e-07","1.30e-07","2.93e-07","1111A0"
111120,"Oilseed (except Soybean) Farming","Methane","kg/2021 USD, purchaser price","1.21e-03","3.58e-04","1.57e-03","1111A0"
111120,"Oilseed (except Soybean) Farming","HFC-134a","kg/2021 USD, purchaser price","4.22e-07","3.32e-07","7.54e-07","1111A0"
111120,"Oilseed (except Soybean) Farming","Nitrogen trifluoride","kg/2021 USD, purchaser price","8.73e-10","1.15e-10","9.88e-10","1111A0"
111120,"Oilseed (except Soybean) Farming","HFC-143a","kg/2021 USD, purchaser price","6.07e-08","4.84e-08","1.09e-07","1111A0"
111120,"Oilseed (except Soybean) Farming","Nitrous oxide","kg/2021 USD, purchaser price","2.64e-03","5.06e-06","2.64e-03","1111A0"
111120,"Oilseed (except Soybean) Farming","HFC-23","kg/2021 USD, purchaser price","1.46e-08","2.10e-09","1.67e-08","1111A0"
