Vehicle Type,Model Year,CH4 Factor (g CH4 / vehicle-mile),N2O Factor (g N2O / vehicle-mile)
Gasoline Passenger Cars,1973,,
Gasoline Passenger Cars,1974,,
Gasoline Passenger Cars,1976,,
Gasoline Passenger Cars,1977,,
Gasoline Passenger Cars,1978,,
Gasoline Passenger Cars,1979,,
Gasoline Passenger Cars,1984,,
Gasoline Passenger Cars,1985,,
Gasoline Passenger Cars,1986,,
Gasoline Passenger Cars,1987,,
Gasoline Passenger Cars,1988,,
Gasoline Passenger Cars,1989,,
Gasoline Passenger Cars,1990,,
Gasoline Passenger Cars,1991,,
Gasoline Passenger Cars,1992,,
Gasoline Passenger Cars,1993,,
Gasoline Light-Duty Trucks,1973,,
Gasoline Light-Duty Trucks,1974,,
"(Vans, Pickup Trucks, SUVs)",1977,,
"(Vans, Pickup Trucks, SUVs)",1978,,
"(Vans, Pickup Trucks, SUVs)",1979,,
"(Vans, Pickup Trucks, SUVs)",1980,,
"(Vans, Pickup Trucks, SUVs)",1987,,
"(Vans, Pickup Trucks, SUVs)",1988,,
"(Vans, Pickup Trucks, SUVs)",1989,,
"(Vans, Pickup Trucks, SUVs)",1990,,
"(Vans, Pickup Trucks, SUVs)",1991,,
"(Vans, Pickup Trucks, SUVs)",1992,,
"(Vans, Pickup Trucks, SUVs)",1993,,
Gasoline Heavy-Duty Vehicles,1973,,
Gasoline Heavy-Duty Vehicles,1974,,
Gasoline Heavy-Duty Vehicles,1975,,
Gasoline Heavy-Duty Vehicles,1976,,
Gasoline Heavy-Duty Vehicles,1977,,
Gasoline Heavy-Duty Vehicles,1978,,
Gasoline Heavy-Duty Vehicles,1979,,
Gasoline Heavy-Duty Vehicles,1980,,
Gasoline Heavy-Duty Vehicles,1981,,
Gasoline Heavy-Duty Vehicles,1982,,
Gasoline Heavy-Duty Vehicles,1983,,
Gasoline Heavy-Duty Vehicles,1984,,
Gasoline Heavy-Duty Vehicles,1985,,
Gasoline Heavy-Duty Vehicles,1986,,
Gasoline Heavy-Duty Vehicles,1988,,
Gasoline Heavy-Duty Vehicles,1989,,
Gasoline Heavy-Duty Vehicles,1990,,
Gasoline Heavy-Duty Vehicles,1991,,
Gasoline Heavy-Duty Vehicles,1992,,
Gasoline Heavy-Duty Vehicles,1993,,
Gasoline Heavy-Duty Vehicles,1994,,
Gasoline Heavy-Duty Vehicles,1995,,
Gasoline Motorcycles,1960,,
Gasoline Motorcycles,1961,,
Gasoline Motorcycles,1962,,
Gasoline Motorcycles,1963,,
Gasoline Motorcycles,1964,,
Gasoline Motorcycles,1965,,
Gasoline Motorcycles,1966,,
Gasoline Motorcycles,1967,,
Gasoline Motorcycles,1968,,
Gasoline Motorcycles,1969,,
Gasoline Motorcycles,1970,,
Gasoline Motorcycles,1971,,
Gasoline Motorcycles,1972,,
Gasoline Motorcycles,1973,,
Gasoline Motorcycles,1974,,
Gasoline Motorcycles,1975,,
Gasoline Motorcycles,1976,,
Gasoline Motorcycles,1977,,
Gasoline Motorcycles,1978,,
Gasoline Motorcycles,1979,,
Gasoline Motorcycles,1980,,
Gasoline Motorcycles,1981,,
Gasoline Motorcycles,1982,,
Gasoline Motorcycles,1983,,
Gasoline Motorcycles,1984,,
Gasoline Motorcycles,1985,,
Gasoline Motorcycles,1986,,
Gasoline Motorcycles,1987,,
Gasoline Motorcycles,1988,,
Gasoline Motorcycles,1989,,
Gasoline Motorcycles,1990,,
Gasoline Motorcycles,1991,,
Gasoline Motorcycles,1992,,
Gasoline Motorcycles,1993,,
Gasoline Motorcycles,1994,,
Gasoline Motorcycles,1995,,
Gasoline Motorcycles,1996,,
Gasoline Motorcycles,1997,,
Gasoline Motorcycles,1998,,
Gasoline Motorcycles,1999,,
Gasoline Motorcycles,2000,,
Gasoline Motorcycles,2001,,
Gasoline Motorcycles,2002,,
Gasoline Motorcycles,2003,,
Gasoline Motorcycles,2004,,
Gasoline Motorcycles,2005,,
Gasoline Motorcycles,2006,,
Gasoline Motorcycles,2007,,
Gasoline Motorcycles,2008,,
Gasoline Motorcycles,2009,,
Gasoline Motorcycles,2010,,
Gasoline Motorcycles,2011,,
Gasoline Motorcycles,2012,,
Gasoline Motorcycles,2013,,
Gasoline Motorcycles,2014,,
Gasoline Motorcycles,2015,,
Gasoline Motorcycles,2016,,
Gasoline Motorcycles,2017,,
Gasoline Motorcycles,2018,,
Gasoline Motorcycles,2019,,
Gasoline Motorcycles,2020,,
