Vehicle Type,Fuel Type,Model Year,CH4 Factor (g CH4 / vehicle-mile),N2O Factor (g N2O / vehicle-mile)
Passenger Cars,Diesel,,,
Passenger Cars,Diesel,,,
Passenger Cars,Diesel,,,
Light-Duty Trucks,Diesel,,,
Light-Duty Trucks,Diesel,,,
Light-Duty Trucks,Diesel,,,
Medium- and Heavy-Duty Vehicles,Diesel,,,
Medium- and Heavy-Duty Vehicles,Diesel,,,
Light-Duty Cars,Methanol,,,
Light-Duty Cars,Ethanol,,,
Light-Duty Cars,CNG,,,
Light-Duty Cars,LPG,,,
Light-Duty Cars,Biodiesel,,,
Light-Duty Trucks,Ethanol,,,
Light-Duty Trucks,CNG,,,
Light-Duty Trucks,LPG,,,
Light-Duty Trucks,LNG,,,
Light-Duty Trucks,Biodiesel,,,
Medium-Duty Trucks,CNG,,,
Medium-Duty Trucks,LPG,,,
Medium-Duty Trucks,LNG,,,
Medium-Duty Trucks,Biodiesel,,,
Heavy-Duty Trucks,Methanol,,,
Heavy-Duty Trucks,Ethanol,,,
Heavy-Duty Trucks,CNG,,,
Heavy-Duty Trucks,LPG,,,
Heavy-Duty Trucks,LNG,,,
Heavy-Duty Trucks,Biodiesel,,,
Buses,Methanol,,,
Buses,Ethanol,,,
Buses,CNG,,,
Buses,LPG,,,
Buses,LNG,,,
Buses,Biodiesel,,,
