Fuel Category,Fuel Type,Heat Content (HHV),Heat Content (HHV) Unit,CO2 Factor (kg CO2 per mmBtu),CH4 Factor (g CO2 per mmBtu),N2O Factor (g CO2 per mmBtu),CO2 Factor (kg CO2 per short ton),CH4 Factor (g CO2 per short ton),N2O Factor (g CO2 per short ton)
Coal and Coke,Anthracite Coal,25.09,mmBtu per short ton,103.69,11,1.6,2602,276,40
Coal and Coke,Bituminous Coal,24.93,mmBtu per short ton,93.28,11,1.6,2325,274,40
Coal and Coke,Sub-bituminous Coal,17.25,mmBtu per short ton,97.17,11,1.6,1676,190,28
Coal and Coke,Lignite Coal,14.21,mmBtu per short ton,97.72,11,1.6,1389,156,23
Coal and Coke,Mixed (Commercial Sector),21.39,mmBtu per short ton,94.27,11,1.6,2016,235,34
Coal and Coke,Mixed (Electric Power Sector),19.73,mmBtu per short ton,95.52,11,1.6,1885,217,32
Coal and Coke,Mixed (Industrial Coking),26.28,mmBtu per short ton,93.9,11,1.6,2468,289,42
Coal and Coke,Mixed (Industrial Sector),22.35,mmBtu per short ton,94.67,11,1.6,2116,246,36
Coal and Coke,Coal Coke,24.8,mmBtu per short ton,113.67,11,1.6,2819,273,40
Other Fuels - Solid,Municipal Solid Waste,9.95,mmBtu per short ton,90.7,32,4.2,902,318,42
Other Fuels - Solid,Petroleum Coke (Solid),30,mmBtu per short ton,102.41,32,4.2,3072,960,126
Other Fuels - Solid,Plastics,38,mmBtu per short ton,75,32,4.2,2850,1216,160
Other Fuels - Solid,Tires,28,mmBtu per short ton,85.97,32,4.2,2407,896,118
Biomass Fuels - Solid,Agricultural Byproducts,8.25,mmBtu per short ton,118.17,32,4.2,975,264,35
Biomass Fuels - Solid,Peat,8,mmBtu per short ton,111.84,32,4.2,895,256,34
Biomass Fuels - Solid,Solid Byproducts,10.39,mmBtu per short ton,105.51,32,4.2,1096,332,44
Biomass Fuels - Solid,Wood and Wood Residuals,17.48,mmBtu per short ton,93.8,7.2,3.6,1640,126,63
Natural Gas,Natural Gas,0.001026,mmBtu per scf,53.06,1,0.1,0.05444,0.00103,0.0001
Other Fuels - Gaseous,Blast Furnace Gas,0.000092,mmBtu per scf,274.32,0.022000000000000002,0.1,0.02524,0.000002,0.000009
Other Fuels - Gaseous,Coke Oven Gas,0.000599,mmBtu per scf,46.85,0.48,0.1,0.02806,0.000288,0.00006
Other Fuels - Gaseous,Fuel Gas,0.001388,mmBtu per scf,59,3,0.6,0.08189,0.004164,0.000833
Other Fuels - Gaseous,Propane Gas,0.002516,mmBtu per scf,61.46,3,0.6,0.15463,0.007548,0.00151
Biomass Fuels - Gaseous,Landfill Gas,0.000485,mmBtu per scf,52.07,3.2,0.63,0.025254,0.001552,0.000306
Biomass Fuels - Gaseous,Other Biomass Gases,0.000655,mmBtu per scf,52.07,3.2,0.63,0.034106,0.002096,0.000413
Petroleum Products,Asphalt and Road Oil,0.158,mmBtu per gallon,75.36,3,0.6,11.91,0.47,0.09
Petroleum Products,Aviation Gasoline,0.12,mmBtu per gallon,69.25,3,0.6,8.31,0.36,0.07
Petroleum Products,Butane,0.103,mmBtu per gallon,64.77,3,0.6,6.67,0.31,0.06
Petroleum Products,Butylene,0.105,mmBtu per gallon,68.72,3,0.6,7.22,0.32,0.06
Petroleum Products,Crude Oil,0.138,mmBtu per gallon,74.54,3,0.6,10.29,0.41,0.08
