ASHRAE #,100-year GWP,Blend Composition
R-401A,18,"53% HCFC-22 , 34% HCFC-124 , 13% HFC-152a"
R-401B,15,"61% HCFC-22 , 28% HCFC-124 , 11% HFC-152a"
R-401C,21,"33% HCFC-22 , 52% HCFC-124 , 15% HFC-152a"
R-402A,1902,"38% HCFC-22 , 60% HFC-125 , 2% propane"
R-402B,1205,"60% HCFC-22 , 38% HFC-125 , 2% propane"
R-403B,3471,"56% HCFC-22 , 39% PFC-218 , 5% propane"
R-404A,3943,"44% HFC-125 , 4% HFC-134a , 52% HFC-143a"
R-406A,0,"55% HCFC-22 , 41% HCFC-142b , 4% isobutane"
R-407A,1923,"20% HFC-32 , 40% HFC-125 , 40% HFC-134a"
R-407B,2547,"10% HFC-32 , 70% HFC-125 , 20% HFC-134a"
R-407C,1624,"23% HFC-32 , 25% HFC-125 , 52% HFC-134a"
R-407D,1487,"15% HFC-32 , 15% HFC-125 , 70% HFC-134a"
R-408A,2430,"47% HCFC-22 , 7% HFC-125 , 46% HFC-143a"
R-409A,0,"60% HCFC-22 , 25% HCFC-124 , 15% HCFC-142b"
R-410A,1924,"50% HFC-32 , 50% HFC-125"
R-410B,2048,"45% HFC-32 , 55% HFC-125"
R-411A,15,"87.5% HCFC-22 , 11% HFC-152a , 1.5% propylene"
R-411B,4,"94% HCFC-22 , 3% HFC-152a , 3% propylene"
R-414A,0,"51% HCFC-22 , 28.5% HCFC-124 , 16.5% HCFC-142b , 4% isobutane"
R-414B,0,"50% HCFC-22 , 39% HCFC-124 , 9.5% HCFC-142b , 1.5% isobutane"
R-417A,2127,"46.6% HFC-125 , 50% HFC-134a , 3.4% butane"
R-422A,2847,"85.1% HFC-125 , 11.5% HFC-134a , 3.4% isobutane"
R-422D,2473,"65.1% HFC-125 , 31.5% HFC-134a , 3.4% isobutane"
R-424A,3104,"50.5% HFC-125 , 47% HFC-134a , 1% butane , 0.9% isobutane , 0.6% isopentane"
R-426A,1371,"5.1% HFC-125 , 93% HFC-134a , 1.3% butane , 0.6% isobutane"
R-428A,3417,"77.5% HFC-125 , 20% HFC-143a , 1.9% isobutane , 0.6% propane"
R-434A,3075,"63.2% HFC-125 , 16% HFC-134a , 18% HFC-143a , 2.8% isobutane"
R-507A,3985,"50% HFC-125 , 50% HFC-143a"
R-508A,11607,"39% HFC-23 , 61% PFC-116"
R-508B,11698,"46% HFC-23 , 54% PFC-116"
