Industrial Designation or Common Name,Chemical Formula,100-Year GWP,Year
Carbon dioxide,CO2,1,2024
Methane,CH4,28,2024
Nitrous oxide,N2O,265,2024
HFC-23,CHF3,12400,2024
HFC-32,CH2F2  ,677,2024
HFC-41,CH3F ,116,2024
HFC-125,CHF2CF3,3170,2024
HFC-134,CHF2CHF2,1120,2024
HFC-134a,CH2FCF3  ,1300,2024
HFC-143,CH2FCHF2,328,2024
HFC-143a,CH3CF3  ,4800,2024
HFC-152,CH2FCH2F,16,2024
HFC-152a,CH3CHF2  ,138,2024
HFC-161,CH3CH2F,4,2024
HFC-227ea,CF3CHFCF3  ,3350,2024
HFC-236cb,CH2FCF2CF3,1210,2024
HFC-236ea,CHF2CHFCF3,1330,2024
HFC-236fa,CF3CH2CF3  ,8060,2024
HFC-245ca,CH2FCF2CHF2,716,2024
HFC-245fa,CHF2CH2CF3  ,858,2024
HFC-365mfc,CH3CF2CH2CF3  ,804,2024
HFC-43-10mee,CF3CHFCHFCF2CF3  ,1650,2024
Sulfur hexafluoride,SF6,23500,2024
Nitrogen trifluoride,NF3,16100,2024
PFC-14,CF4,6630,2024
PFC-116,C2F6,11100,2024
PFC-218,C3F8,8900,2024
PFC-318,c-C4F8,9540,2024
PFC-31-10,C4F10,9200,2024
PFC-41-12,C5F12,8550,2024
PFC-51-14,C6F14,7910,2024
PFC-91-18,C10F18,7190,2024
