Material,Recycled (Metric Tons CO2e / Short Ton Material),Landfilled (Metric Tons CO2e / Short Ton Material),Combusted (Metric Tons CO2e / Short Ton Material),Composted (Metric Tons CO2e / Short Ton Material),Anaerobically Digested (Dry Digestate with Curing (Metric Tons CO2e / Short Ton Material)),Anaerobically Digested (Wet  Digestate with Curing) (Metric Tons CO2e / Short Ton Material)
Aluminum Cans,0.06,0.02,0.01,,,
Aluminum Ingot,0.04,0.02,0.01,,,
Steel Cans,0.32,0.02,0.01,,,
Copper Wire,0.18,0.02,0.01,,,
Glass,0.05,0.02,0.01,,,
HDPE,0.21,0.02,2.8,,,
LDPE,,0.02,2.8,,,
PET,0.23,0.02,2.05,,,
LLDPE,,0.02,2.8,,,
PP,0.2,0.02,2.8,,,
PS,,0.02,3.02,,,
PVC,,0.02,1.26,,,
PLA,,0.02,0.01,0.13,,
Corrugated Containers,0.11,1,0.05,,,
Magazines/Third-class mail,0.02,0.46,0.05,,,
Newspaper,0.02,0.39,0.05,,,
Office Paper,0.02,1.41,0.05,,,
Phonebooks,0.04,0.39,0.05,,,
Textbooks,0.04,1.41,0.05,,,
Dimensional Lumber,,0.17,0.05,,,
Medium-density Fiberboard,,0.07,0.05,,,
Food Waste (non-meat),,0.67,0.05,0.11,0.14,0.11
Food Waste (meat only),,0.69,0.05,0.11,0.14,0.11
Beef,,0.64,0.05,0.11,0.14,0.11
Poultry,,0.73,0.05,0.11,0.14,0.11
Grains,,2.06,0.05,0.11,0.14,0.11
Bread,,1.49,0.05,0.11,0.14,0.11
Fruits and Vegetables,,0.28,0.05,0.11,0.14,0.11
Dairy Products,,0.72,0.05,0.11,0.14,0.11
Yard Trimmings,,0.36,0.05,0.14,0.11,
Grass,,0.28,0.05,0.14,0.09,
Leaves,,0.28,0.05,0.14,0.12,
Branches,,0.58,0.05,0.14,0.15,
Mixed Paper (general),0.07,0.89,0.05,,,
Mixed Paper (primarily residential),0.07,0.86,0.05,,,
Mixed Paper (primarily from offices),0.03,0.84,0.05,,,
Mixed Metals,0.23,0.02,0.01,,,
Mixed Plastics,0.22,0.02,2.34,,,
Mixed Recyclables,0.09,0.75,0.11,,,
Food Waste,,0.68,0.05,0.11,,
Mixed Organics,,0.54,0.05,0.13,,
Mixed MSW,,0.58,0.43,,,
Carpet,,0.02,1.68,,,
Desktop CPUs,0.01,0.02,0.4,,,
Portable Electronic Devices,0.02,0.02,0.89,,,
Flat-panel Displays,0.02,0.02,0.74,,,
CRT Displays,,0.02,0.64,,,
Electronic Peripherals,0.05,0.02,2.23,,,
Hard-copy Devices,0.01,0.02,1.92,,,
Mixed Electronics,0.02,0.02,0.96,,,
Clay Bricks,,0.02,,,,
Concrete,0.01,0.02,,,,
Fly Ash,0.01,0.02,,,,
Tires,0.1,0.02,2.21,,,
Asphalt Concrete,0.0035205384954666674,0.02,,,,
Asphalt Shingles,0.03,0.02,0.7,,,
Drywall,,0.02,,,,
Fiberglass Insulation,0.05,0.02,,,,
Structural Steel,0.04,0.02,,,,
Vinyl Flooring,,0.02,0.29,,,
Wood Flooring,,0.18,0.08,,,
