Fuel Category,Fuel Type,Heat Content (HHV),Heat Content (HHV) Unit,CO2 Factor Energy,CO2 Factor Energy Unit,CH4 Factor Energy,CH4 Factor Energy Unit,N2O Factor Energy,N2O Factor Energy Unit,CO2 Factor,CO2 Factor Unit,CH4 Factor,CH4 Factor Unit,N2O Factor,N2O Factor Unit,Year
Coal and Coke,Anthracite,25.09,,103.69,kg CO2 per mmBtu,11,,1.6,g N2O per mmBtu,2602,kg CO2 per short ton,276,g CH4 per short ton,40,g N2O per short ton,2024
Coal and Coke,Bituminous,24.93,,93.28,kg CO2 per mmBtu,11,,1.6,g N2O per mmBtu,2325,kg CO2 per short ton,274,g CH4 per short ton,40,g N2O per short ton,2024
Coal and Coke,Sub-bituminous,17.25,,97.17,kg CO2 per mmBtu,11,,1.6,g N2O per mmBtu,1676,kg CO2 per short ton,190,g CH4 per short ton,28,g N2O per short ton,2024
Coal and Coke,Lignite,14.21,,97.72,kg CO2 per mmBtu,11,,1.6,g N2O per mmBtu,1389,kg CO2 per short ton,156,g CH4 per short ton,23,g N2O per short ton,2024
Coal and Coke,Mixed (Commercial Sector),21.39,,94.27,kg CO2 per mmBtu,11,,1.6,g N2O per mmBtu,2016,kg CO2 per short ton,235,g CH4 per short ton,34,g N2O per short ton,2024
Coal and Coke,Mixed (Electric Power Sector),19.73,,95.52,kg CO2 per mmBtu,11,,1.6,g N2O per mmBtu,1885,kg CO2 per short ton,217,g CH4 per short ton,32,g N2O per short ton,2024
Coal and Coke,Mixed (Industrial Coking),26.28,,93.9,kg CO2 per mmBtu,11,,1.6,g N2O per mmBtu,2468,kg CO2 per short ton,289,g CH4 per short ton,42,g N2O per short ton,2024
Coal and Coke,Mixed (Industrial Sector),22.35,,94.67,kg CO2 per mmBtu,11,,1.6,g N2O per mmBtu,2116,kg CO2 per short ton,246,g CH4 per short ton,36,g N2O per short ton,2024
Coal and Coke,Coal Coke,24.8,,113.67,kg CO2 per mmBtu,11,,1.6,g N2O per mmBtu,2819,kg CO2 per short ton,273,g CH4 per short ton,40,g N2O per short ton,2024
Other Fuels - Solid,Municipal Solid Waste,9.95,,90.7,kg CO2 per mmBtu,32,,4.2,g N2O per mmBtu,902,kg CO2 per short ton,318,g CH4 per short ton,42,g N2O per short ton,2024
